priority,company,region,town,type,fleet_signal,booking_platform,website,business_email,business_phone,contact_role_name,pain_signal,source_url
6,Hassle-free Tours,Canterbury,Christchurch,day tour,"20 vehicles: 5 classic London double deckers, new ANKAI open-top double deckers, six-wheeler land cruisers",in-house,https://www.hasslefreetours.co.nz,bookings@hasslefree.co.nz,+64 3 385 5775,Mark and Nikki Gilbert (owners),"Seek ads (Sept 2026) for Driver/Guide and Tour Guide - active hiring for daily Kaikoura, Alpine Safari and city tours",https://nz.seek.com/tour-driver-jobs/in-Christchurch-Central-Canterbury
6,Kaikoura Helicopters,Canterbury,Kaikoura,adventure w/ pickups,Free pick-up and drop-off anywhere in Kaikoura,Rezdy,https://www.kaikourahelicopters.com,info@kaikourahelicopters.com,+64 3 319 6609,unknown,Weather-dependent flights with own pickup runs - reschedule/notify load,https://kaikourahelicopters.rezdy.com/
6,Monarch Wildlife Cruises & Tours (incl. Elm Wildlife Tours),Dunedin/Otago Peninsula,Dunedin,day tour,MV Monarch plus bus/coach fleet; merged with Elm Wildlife Tours,FareHarbor,https://www.wildlife.co.nz/,info@monarchwildlifetours.co.nz,0800 666 272,unknown,Seek ad for Boat Crew & Guest Ambassador roles (casual/part/full-time); Port Chalmers cruise terminal pickups; daily peninsula departures,https://www.wildlife.co.nz/dunedin-cruise-ship-shore-tours
6,Appellation Wine Tours,Queenstown Lakes,Queenstown,day tour,"Mercedes-Benz minivans, max 11 pax",Rezdy,https://appellationwinetours.nz/,bookings@appellationwinetours.nz,+64 3 442 6920,unknown,"Seek ad: Part-time/Casual Wine Tour Driver Guides $30-35/hr, ~26 days old",https://nz.seek.com/tour-driver-jobs/in-Queenstown-&-Wanaka-Otago
6,Nomad Safaris,Queenstown Lakes,Queenstown,adventure w/ pickups,"4WD fleet + quad bikes, runs 365 days",Rezdy,https://www.nomadsafaris.co.nz/,res@nomadsafaris.co.nz,0800 688 222,unknown,Seek ad: Operations and Fleet Coordinator ($65-80k) for 4WD and transport ops; careers page,https://www.seek.co.nz/operations-manager-jobs/in-Queenstown-Otago
6,Remarkable Scenic Tours,Queenstown Lakes,Queenstown,day tour,"European tour vans, max 16 pax",FareHarbor,https://www.remarkablescenictours.nz/,info@remarkablescenictours.nz,+64 3 441 8867,unknown,"Seek ad: Casual Driver Guide $37.50/hr, ~11 days old",https://nz.seek.com/tour-driver-jobs/in-Queenstown-&-Wanaka-Otago
5,Auckland Tour House,Auckland,Auckland,day tour,full-electric Mercedes van(s); private Hobbiton/west coast tours,Bókun,https://www.aucklandtourhouse.com/,mike@aucklandtourhouse.com,+64 21 024 46859,"Mike (owner, named on site)",Private tailor-made tours listed on Viator/Bokun; owner-managed comms,https://www.aucklandtourhouse.com/
5,Bush and Beach,Auckland,Auckland (West),day tour,vehicles from 3 to 21 seats; multiple buses; small family-owned; 42 yrs,in-house,https://bushandbeach.co.nz/,info@bushandbeach.co.nz,+64 9 837 4130,"Ben Thornton / Krystle Thomas (application contacts, jobs page)",Actively hiring full-time and part-time driver-guides (60 hrs/fortnight high season); runs Hobbiton/Waitomo/Piha/Kumeu departures daily with hotel pickups,https://bushandbeach.co.nz/about-us/jobs/
5,ExperienceKart,Auckland,Swanson Auckland,day tour,premium day + multi-day tours; Qualmark Gold; TIA member,FareHarbor,https://www.experiencekart.co.nz/,unknown,0800 397 527,unknown,Reviews name a coordinator handling comms separate from the guide; cruise shore excursions with port pickup and on-time return,https://www.experiencekart.co.nz/shore-excursions
5,Kaikoura Kayaks,Canterbury,Kaikoura,adventure w/ pickups,Family-run; guides require full NZ licence 2+ yrs (vehicle duties implied),Rezdy,https://www.kaikourakayaks.nz,unknown,0800 452 456,unknown,"Vacancies page: Guide and Head Guide roles - fully staffed for 2026/27, next hiring June 2027",https://www.kaikourakayaks.nz/contact/vacancies
5,Altitude Tours,Queenstown Lakes,Queenstown,day tour,"Mercedes Sprinters, max 15 pax per tour",Rezdy,https://www.altitudetours.co.nz/,unknown (obfuscated on site),+64 3 441 4788,unknown,"Seek ad: Tour Guides (Milford Sound, Mt Cook) Class 1 licence, ~19 days old; /jobs page live",https://nz.seek.com/tour-driver-jobs/in-Queenstown-&-Wanaka-Otago
5,Wanaka Transfers & Tours,Queenstown Lakes,Wanaka,shuttle-transfer,"Toyota 10-seat and 12-seat minibuses, Outback, Prado (~40 pax capacity) + trailers",in-house,https://wanakatransfers.co.nz/,info@wanakatransfers.co.nz,03 428 4944,Kirsty (founder/operator),WhatsApp booking line published (021 570 520); team page lists drivers,https://wanakatransfers.co.nz/
